key,description,en,ru
descriptionHabitTip,,"    A habit and a routine are both repeated regular activities. The distinction is that habits run on autopilot and routines are intentional. For instance, having coffee might be something you do every morning without awareness but doing morning exercise requires intention and effort.
First, you need to hone and practice your routine and after sticking to it the habit-forming process will become automatic. The better you describe what action you want to perform, why, when, and under what circumstances, the bigger your chances to succeed. The human brain doesn't like uncertainty, so your desire ""I want to read more"" is unlikely becomes a habit while ""I will read for 30 min every night after dinner"" will.","    Привычки и рутины - это повторяющиеся регулярные действия. Различие в том, что привычки выполняются на автопилоте, а рутины - намеренно. Например, выпить чашку кофе может быть чем-то, что вы делаете каждое утро без сознательных усилий, но утренняя зарядка требует намерения. 
 Для начала вам нужно отточить и практиковать свои рутины, после чего они трансформируются в привычки и станут автоматическими. Чем точнее вы описываете, какое действие хотите выполнить, почему, когда и при каких обстоятельствах, тем больше ваши шансы на успех. Человеческий мозг не любит неопределенности, поэтому желание ""хочу больше читать "" вряд ли станет привычкой, в то время как ""буду читать по 30 минут каждый вечер после ужина"" будет."
descriptionGoalTip,,"   Scientists Yukl and Latham published research on interconnections between goal-setting and individual personality factors. It revealed that:
    • Participants with difficult goals achieved greater success than others.
    • Participants with higher self-esteem did better on task accomplishments.
    • Participants with a greater understanding of why the goal was necessary for them had more chances of being successful with the target plans.
    So dedicate some time to describe your goal in detail and it would help you to achieve it.","    Ученые Юкл и Латам опубликовали исследование взаимосвязи между постановкой целей и личностными факторами. Оно показало, что: 
 • Участники с трудными целями достигли большего успеха, чем другие. 
 • Участники с более высокой самооценкой справляются лучше. 
 • Участники с четким пониманием того, для чего они достигают именно этой цели, имели больше шансов на успех. 
 Поэтому выделите немного времени и подробно опишите свою цель и почему она для вас важна - это поможет вам ее достичь."
keyResultsGoalTip,,"   OKR (Objectives and Key Results) is the best goal-setting technique that consists of the two basic parts:
    1. The Objective is a qualitative goal that tells you what you want to achieve.
    2. The Key Results are quantitative and define how you’ll know if you have achieved them.
    John Doerr’s who introduced Google to OKRs, offered the best formula for setting them: 
    I will (Objective) as measured by (This set of Key Results).
    Set and review your goals quarterly.","    OKR (Objectives & Key Results) - цели и ключевые результаты - лучший метод постановки целей, который состоит из двух основных частей: 
 1. Цель - это качественный показатель того, чего вы хотите достичь.
 2. Ключевые результаты - количественные показатели, которые определяют, достигли ли вы цели.
 Джон Дорр, который познакомил Google с методом OKR, предложил лучшую формулу:
 Я буду (Цель), что измеряется (набором Ключевых результатов).
 Например, “Я стану выносливее, что измеряется тем, что смогу пробежать полумарафон за 2 часа. 
 Ставьте и пересматривайте свои цели ежеквартально."
repetitionAndTriggersHabitTip,,"   As a certain behavior is repeated multiple times, the neural connections in the brain form and become stronger. Therefore, with every repetition, our brain needs less effort to perform a habit. The habit loop coined by Charles Duhigg explains the habit formation process as a series of steps - trigger (or cue), craving, habit, and reward. The trigger for a habit can be anything that drives it such as a preceding action, an existing habit like brushing teeth, a location, a time of day, other people, or an emotional state. E.g. you can meditate every morning right after turning off the alarm.","    Когда определенное поведение повторяется несколько раз, нейронные связи в мозге формируются и укрепляются. Таким образом, с каждым повторением нашему мозгу требуется меньше усилий для выполнения привычки. Петля привычки, которую описал Чарльз Дахигг, объясняет, что процесс формирования привычки представляет собой серию шагов - триггер (или сигнал), тяга, привычка и вознаграждение. Триггером для привычки может быть все, что ее вызовет, например существующая привычка (чистка зубов, завтрак и т.д.), местоположение, время суток, другие люди или эмоциональное состояние. Например, вы можете медитировать каждое утро сразу после выключения будильника."
remindersHabitTip,,"   Benjamin Gardner, a habit researcher and senior lecturer in psychology at King’s College London, states that when it comes to new habits, forgetting is a big issue that is why planning ahead and setting up reminders is a good idea. 
    Reminders for implementation intentions will increase their activation in declarative memory, but activation will decay as time goes by since those reminders were attended. So at the begging of formation a new habit, it's a great and the easiest tool to stay on track.","    Бенджамин Гарднер, исследователь привычек и старший преподаватель психологии в King’s College London, утверждает, что самая большая проблема в том, что мы быстро забываем о новых привычках. Поэтому планирование и выставление напоминаний на телефоне - хорошая идея. 
 Напоминания о новых привычках, будут усиливать их активацию в декларативной памяти. Однако активация будет ослабевать по прошествии времени. Так что напоминания - отличный и самый простой инструмент, позволяющий не сбиться только в начале пути формирования новой привычки."
prepareForSuccessHabitTip,,"   When you start a journey of adopting a new habit, you need to set your mindset and think in advance about how you overcome challenges. We are only humans and can't perform to the fullest all the time. 
    The Two-Day Rule comes to the rescue. Never skip the thing you're trying to accomplish more than two days in a row - don’t slack off too much and often.
    Let's say, you want to run. One day it's raining and you don't go. But the next day, you need to find a way to do this run - even if it means going to a gym instead of a park or buying a waterproof outfit. Once you get used to hitting your habits, you will do everything in your power not to miss two days in a row and break the chain.","    Когда вы начинаете путь к формированию новой привычки, вам необходимо настроить свое мышление и заранее подумать о том, как вы преодолеете трудности. Мы всего лишь люди и не можем постоянно работать в полную силу. 
 На помощь приходит правило двух дней. Никогда не пропускайте то, что пытаетесь выработать у себя, более двух дней подряд. 
 Допустим, вы хотите регулярно бегать. В один день пошел дождь, и вы его пропустили. Но на следующий день вам нужно найти способ сделать пробежку - даже если это означает пойти в тренажерный зал вместо парка или купить водонепроницаемую одежду. Сделаете все, что в ваших силах, чтобы не пропустить два дня подряд и не разорвать цепочку."
prepareForSuccessGoalTip,,"   Your overall mindset dictates your success or failure and how you cope with challenges. Psychologists Daniel Gilbert and Timothy Wilson identify the key to setting goals is a better understanding and predicting your emotions, including how they’ll change over time, how external events will affect them, and how they’ll impact things like personal productivity.
    Coaching questions in this section will help you work through any goal, set priorities, overcome doubts and challenges, and find support.","    Мышление определяет ваш успех или неудачу и то, как вы справляетесь с проблемами. Психологи Дэниел Гилберт и Тимоти Уилсон выяснили, что ключ к постановке целей - это лучшее понимание и прогнозирование ваших эмоций, включая то, как они будут меняться со временем, как внешние события повлияют на них, и как они в свою очередь будут влиять на личную продуктивность. 
 Коучинговые вопросы в этом разделе помогут вам проработать цель, расставить приоритеты, преодолеть сомнения и обрести внутреннюю поддержку."
detailsHabitTip,,"   The human brain likes clarity therefore if you want to develop a habit, you should describe it as precisely as possible.
    Add all relevant details, it will help you find focus and direction and build a solid daily routine.","    Мозг любит ясность, поэтому, если хотите развить привычку, вам нужно описать ее как можно точнее. 
 Добавьте все важные детали - это поможет убрать неопределенности и выстроить надежные рутины."
statisticsHabitTip,,"   The process of building habits is all about consistency. Tracking your habits and measuring the progress help you correct your behavior, find areas for improvements, and celebrate the results. Research has shown that people who track their progress on goals like losing weight are all more likely to improve than those who don’t. The calendar keeps you accountable, when you see your streak, you’ll be reminded to act again. Also, tracking feels rewarding. It is great to watch your results grow and it boosts your motivation.","    Основа формирования привычек - это последовательность. Трекер привычек и прогресса помогут скорректировать свое поведение, увидеть слабые места и отпраздновать результаты. Исследования показали, что люди, отслеживающие свой прогресс в похудении, с большей вероятностью достигают цели, чем те, кто этого не делает. Календарь и трекер держат вас в тонусе и служат напоминанием. Кроме того, приятно наблюдать, как растет ваш прогресс - это повышает мотивацию."
statisticsGoalTip,,"   If you are trying to achieve a goal, the more often that you monitor your progress, the greater the likelihood that you will succeed, according to research published by the American Psychological Association.
    Your chances of success are even more likely if you report your progress publicly or physically record it. Feel free to share your progress with friends and focus your attention on the goal to keep it at the top of your mind.","    Согласно исследованию, опубликованному Американской психологической ассоциацией, чем чаще вы отслеживаете свой прогресс, тем вероятнее достижение цели. 
 Ваши шансы на успех еще выше, если вы сообщаете о своем прогрессе публично или фиксируете его. Не стесняйтесь делиться своим результатами с друзьями и возвращайтесь к записанной цели, чтобы держать ее в голове и фокусе внимания."
back,,Back,Назад
backToolTip,,Tap on the Back sign to return to the My day screen and start getting things done 💪,"Нажмите ""Назад"", чтобы вернуться к экрану ""Мой день"" и начать выполнять дела 💪"
pomoTimer,,Pomo Timer,Фокус-таймер
pomoTimerToopTip,,Use the Pomo timer (alternate 25 min work phases with 5 min breaks) to boost productivity and concentration.,Пользуйтесь фокус-таймером (чередуйте 25 минут концентрированной работы с 5-минутными перерывами. Этот метод помогает бороться с прокрастинацией и повышает продуктивность.
guidedGoals,,Guided Goals,Программы целей
guidedGoalsToolTip,,Let's start with a guided goal program. Later you can add any custom goal using the tool designed by neuroscientists 🧠,"Давайте начнем с готовой программы целей. Вы также сможете добавлять любую личную цель в инструменте, разработанном нейробиологом 🧠"
create,,Create,Создать
createToolTip,,"Tap on + to create a note, task, habit, or goal 🎯","Нажмите +, чтобы создать заметку, задачу, привычку или цель 🎯"
createAGoal,,Create a Goal,Создать цель
createAGoalToolTip,,Let's create the first goal to start your self-improvement journey 🚀,"Давайте создадим первую цель, с которой вы сможете начать процесс саморазвития 🚀"
commitGoalToolTip,,Commit to a goal with one click and all tasks and habits will be distributed through your to-do list ✅,"Примите цель в 1 клик и все задачи и привычки, привязанные к ней, автоматически добавятся в ваш список дел ✅"
icons,,Icons,Иконки
iconsToolTip,,"To distinguish icons of habits and tasks, keep in mind that tasks are square and the habits are round.","Иконки задач - квадратные, а привычек - круглые. Так вы легко сможете с первого взгляда на расписание увидеть, что именно вам предстоит сделать."
swipes,,Swipes,Свайпы
swipesToolTip,,Swipe the card to the right to complete or swipe it to the left to edit or delete.,"Сдвиньте карточку вправо, чтобы выполнить, а влево, чтобы отредактировать или удалить."
goalDeleted,,Goal Deleted,Цель удалена
habitDeleted,,Habit Deleted,Привычка удалена
habitCompleted,,Habit Completed,Привычка выполнена
habitCompletedForDay,,Today’s habit is completed,Привычка выполнена на день
accomplishHabit,,Accomplish Habit,Выполнить привычку
meditationCompleted,,Meditation Completed,Медитация выполнена
deleteMeditation,,Delete Meditation,Удалить медитацию
deleteRecurringMeditation,,Delete Recurring Meditation,Удалить повторяющуюся медитацию
meditationDeleted,,Meditation Deleted,Медитация удалена
meditationScheduled,,Meditation Scheduled,Медитация внесена в расписание
meditationRescheduled,,Meditation Recheduled,Медитация перенесена
taskSavedInUpcomingToDo,,Task Saved in Upcoming To-Do,Задача сохранена в Список дел
taskRescheduled,,Task Rescheduled,Задача перенесена
warning,,Warning,Внимание!
warningCompletedTask,,This task is completed. Please incomplete the task to edit its attributes.,"Эта задача выполнена. Пожалуйста, отмените выполнение, чтобы отредактировать ее."
taskCompleted,,Task Completed,Задача выполнена
taskCompletedForDay,,Task Completed for Day,Задача выполнена на день
taskAccomplished,,Task Accomplished,Задача достигнута
taskDeleted,,Task Deleted,Задача удалена
accomplishTask,,Accomplish Task,Выполнить задачу
taskCreated,,Task Created,Задача создана
primaryTaskOrHabitOfTheDay,,Primary task or habit of the day,Главное дело дня
dragAnyTaskOrHabitIntoThisArea,,Drag any task or habit into this area,Переместите в это окно любую задачу или привычку.
completed,,Completed,Выполнено
date,,Date,Дата
today,,Today,Сегодня
tomorrow,,Tomorrow,Завтра
yesterday,,Yesterday,Вчера
goalAchieved,,Goal Achieved,Цель достигнута
congratulations,,Congratulations,Поздравляем!
goalTitleHint,,Goal Title,Наименование цели
statisticsGoalDescription,,,
programDescriptionGoal,,Program Description,Описание
keyResults,,Key Results,Ключевые результаты
keyResult,,Key Result,Ключевые результаты
prepareForSuccess,,Prepare for Success,Настроиться на успех
whatIsThePriceHeader,,What is the price?,Какая цена достижения цели?
whayIsThePriceHint,,"What are you willing to sacrifice in order to achieve this goal? E.g., after work, instead of watching TV series, dedicate 2 hours to starting your own business or writing a book.","От чего придется отказаться для достижения желаемого, чем заплатить – временем, комфортом, развлечениями, встречами, деньгами. Например, после работы пожертвовать просмотром сериала и посвятить 2 часа новому проекту, блогу или написанию книги."
whatArePossibleObstaclesHeader,,What are possible obstacles?,Какие преграды могут возникнуть?
obstaclesHint,,Think in advance what might get in your way and how you can overcome it. It will lower the stress and increase your chances to succeed.,"Заранее подумайте о том, что может помешать и как преодолеть преграды. Это поможет снизить стресс и повысит шансы на успех."
undo,,Undo,Отменить
undoAccomplish,,Undo accomplish,Отменить выполнение
undoAccomplishMessage,,All tasks attached to the goal will be uncompleted.,"Все задачи, привязанные к этой цели, будут отмечены как невыполненные."
accomplishGoal,,Accomplish Goal,Выполнить цель
copy,,Copy,копия
emptyGoalPlanPlaceholder,,"Add tasks and habits to this goal.
With an action plan, you’ll have a clear idea of how to get where you want to go.","Добавьте к этой цели задачи и привычки. 
С четким планом действий вам будет понятно, куда двигаться."
advanceStepCreationProgress,,What actions should I undertake? Create a plan of tasks and habits you need to accomplish in order to achieve a goal.,"Какие действия нужно предпринять? Создайте план из задач и привычек, которые нужно выполнить, чтобы достичь цели."
advanceStepHeader,,Advance stage - create a plan,Уровень 3 - создать план
enhancedStepCreationProgress,,How do I know I’m getting there? Set quantifiable and time-bound metrics that measure if the goal is achieved.,"Как вы поймете, что движетесь в нужном направлении? Задайте измеряемые и привязанные ко времени ключевые результаты, которыми можно измерить прогресс."
enhancedStepHeader,,Enhanced stage - set key results,Уровень 2 - задать ключевые результаты
enhanced,,Enhanced,Уровень 2
primary,,Primary,Уровень 1
advanced,,Advanced,Уровень 3
ultimate,,Ultimate,Уровень 4
primaryStepCreationProgress,,"Make it SMART. The better you describe a goal, the more achievable it becomes.","Цели по SMART. Чем лучше вы пропишите свою цель, тем выше шансы на успех."
primaryStepHeader,,Primary stage,Уровень 1
name,,Name,Наименование
hintTextName,,"e.g., Learn a new language","Например, выучить иностранный язык"
description,,Description,Описание
startingDateText,,Starting date,Дата начала
targetDateText,,Target date,Срок достижения
ultimateStepCreatingProgress,,"Answers to these questions help lower your stress, stay focused, free up time and increase chances to succeed.","Ответы на эти вопросы - настоящее топливо для вашей мотивации. А еще они помогают снизить стресс, повысить концентрацию и в целом повышают ваши шансы на успех."
ultimateStepHeader,,Ultimate stage - prepare for success,Уровень 4 - настройтесь на успех
goalAchiever,,Goal Achiever,Цели
missingStep,,Missing step,Пропущен этап
missingStepTitleIconAndSphere,,Please add goal title and select icon and sphere for your goal to proceed.,"Введите наименование цели и выберите иконку и сферу жизни, чтобы продолжить."
missingStepTitleAndIcon,,Please add goal title and select icon for your goal to proceed.,"Введите наименование цели и выберите иконку, чтобы продолжить."
missingStepTitleAndSphere,,Please add goal title and select sphere for your goal to proceed.,"Введите наименование цели и выберите сферу жизни, чтобы продолжить."
missingStepTitle,,Please add goal title to proceed.,"Введите наименование цели, чтобы продолжить."
missingStepIcon,,Please select icon for your goal to proceed.,"Выберите иконку, чтобы продолжить."
missingStepSphere,,Please select sphere for your goal to proceed.,"Выберите сферу жизни, чтобы продолжить."
editGoal,,Edit Goal,Редактировать цель
learnMore,,Learn more,Узнать больше
by,,By,От
part,,Part,Этап
extraHabitsAndTasks,,Extra habits and tasks,Привычки и задачи вне этапов
extraPart,,extra Part,+1 Этап
upcoming,,Upcoming,Список дел
joinUs,,Join us!,Принять!
insteadOf,,Instead of,Вместо
habitBreakTitleHint,,Habit Break Title,Плохая привычка
habitDescription,,Habit Description,Описание привычки
repetitionAndTriggers,,Repetition & Triggers,Повторы и триггеры
timesPerDay,,Times per day,Повторов в день
inThe,,in the,в
at,,at,в
reminders,,Reminders,Напоминания
reminder,,Reminder,Напоминание
reminderTime,,Reminder time,Время напоминания
location,,Location,Место
breakTheSpell,,Break the spell,Разрушить очарование плохой привычки
details,,Details,Детали
mindset,,Mindset,Уровень 4
buildAHabit,,Build a Habit,Создать
breakAHabit,,Break a Habit,Избавиться
what,,What,Уровень 1
whatStepText1,,It helps track time you dedicate to every goal or sphere and keep balance in life.,"Это помогает отслеживать время, которое вы посвящаете каждой цели и сохранять баланс в жизни."
whatStepText2,,The habit is tied to the chosen goal,Привычка привязана к выбранной цели
breakHabitHint,,"Habit I Want to Break (e.g., Smoking)","Плохая привычка (например, курить)"
replacementHabitHint,,"Replacement habit (e.g., Drink water)","Привычка на замену (например, выпить воды)"
when,,When,Уровень 2
startingTime,,Starting Time,Время начала
habitBuilder,,Habit Builder,Привычки
error,,Error,Ошибка
erroCustomHabitMessage,,Please add title for your habit to proceed,"Введите наименование привычки, чтобы продолжить."
missingStepBreakTitle,,Please add break title for your habit to proceed,"Введите наименование плохой привычки, от которой вы хотите избавиться, чтобы продолжить."
missingStepHabitIcon,,Please select icon for your habit to proceed,"Выберите иконку, чтобы продолжить."
missingStepSphereOrGoal,,Please select sphere or goal for your habit to proceed,"Привяжите привычку к сфере жизни или цели, чтобы продолжить."
editHabit,,Edit Habit,Редактировать привычку
googleCalendarSyncDisabled,,Google calendar sync disabled,Синхронизация с Google Календарем отключена
googleCalendarSyncDisabledMessage,,This habit is not syncable with Google calendar due to missed starting time or large number of reminders (more than 5).,"Эта привычка не может быть синхронизирована с Google Календарем. Возможно, у нее пропущено время начала или установлено больше 5 напоминаний."
duration,,Duration,Длительность
valueAndUnit,,Value & Unit,Заданная величина
statisticsHabitDescription,,,
habitTitleHint,,Habit Title,Наименование привычки
select,,Select,Выбрать
ofSuffix,,of,из
onboardingChooseSphereTitle,,"Choose 3 spheres
you want to improve first","Выберите 3 сферы 
которые вы хотите улучшить в первую очередь"
onboardingChooseSphereSubtitle,,"Take a look at the bigger picture of your life.
Life balance leads to well-being. ","Взгляните на полную картину вашей жизни.
Жизненный баланс очень важен для благополучия. "
next,,Next,Дальше
onboardingFirstPageTitle,,Get more done and be happy,Больше успевать и не упускать счастье
onboardingFirstPageSubtitle,,"Start a better life with {appName} today.
Move forward without a burnout.","Начать лучшую жизнь с {appName} сегодня.
Двигаться вперед без выгорания."
onboardingFirstPageAdvantage1Title,,All-in-one,Все в одном
onboardingFirstPageAdvantage1Subtitle,,"Life Spheres, SMART Goals, Habits, Tasks, Subtasks, Reminders, Calendar and more.","Сферы жизни, SMART цели, привычки, задачи, подзадачи, напоминания, календарь и многое другое."
onboardingFirstPageAdvantage2Title,,Scientific Approach,Научный подход
onboardingFirstPageAdvantage2Subtitle,,"Habit loop and triggers, CBT & Mindfulness techniques, GTD, Pomo timer, etc.","Петля привычек с триггерами, техники осознанности и когнитивно-поведенческой психологии, фокус-таймер и другое."
onboardingFirstPageAdvantage3Title,,Easy to use,Просто использовать
onboardingFirstPageAdvantage3Subtitle,,Seamless templates created by experts and tools for adding customized things.,"Удобные шаблоны, разработанные экспертами и фреймворки по постановке и достижению целей."
alreadyHaveAnAccount,,Already have an account? Log in,Уже есть аккаунт? Войти
onboardingGoalsPageTitle,,SMART Goals,SMART цели
onboardingGoalsPageSubtitle,,"Boost a life with Specific, Measurable, Achievable, Relevant, and Time-bound goals. ","Добивайтесь конкретных, измеримых, достижимых, значимых и привязанных к дате целей. "
onboardingHabitPageTitle,,Science-based Habits,Научный подход к привычкам
onboardingHabitPageSubtitle,,"Use a habit loop to build desired routines
and a healthy lifestyle. ","Используйте петлю привычек, чтобы выстроить здоровые рутины и образ жизни."
onboardingMindfulnessTitle,,Mindfulness Practices,Практики осознанности
onboardingMindfulnessSubtitle,,"Boost your productivity and energy to improve
every life sphere. ","Улучшите свою продуктивность и энергию
в каждой сфере жизни."
onboardingMindfulnessAdvantage1Subtitle,,"Reset your mind with breathing techniques, guided or unguided.",Перезагрузите мозг с техниками дыхания.
onboardingMindfulnessAdvantage2Subtitle,,Wind down with sleep sounds to keep your mind relax and find more restful sleep.,Засыпайте под мелодии и звуки для крепкого сна и быстрого засыпания.
onboardingMindfulnessAdvantage3Subtitle,,Discover the collection of relax and focus sounds to deep work and reduce stress.,Исследуйте коллекцию мелодий и звуков для расслабления и концентрации.
getStarted,,Get started!,Приступить!
focusTimer,,Focus Timer,Фокус-таймер
pomodoro,,Pomodoro,Фокус-таймер
pause,,Pause,Пауза
quit,,Quit,Выйти
resume,,Resume,Продолжить
meditivityPremium,,{appName} Premium,{appName} Премиум
meditivityPremiumSubscriptionText,,"To set any time period you want, please subscribe to Premium. Find out more about how to double your achievements with all {appName} features.","Чтобы задать любой временной отрезок, пожалуйста, подпишитесь на Премиум. Узнать больше о том, как приумножить свои достижения с {appName} Премиум."
now,,Now,Сейчас
later,,Later,Позже
stop,,Stop,Стоп
play,,Play,Начать
noConnection,,No Internet connection,Нет интернет-соединения
yourName,,Your name,Ваше имя
photo,,Photo,Фото
loadFromGallery,,Load from gallery,Выбрать из галереи
takeAPhoto,,Take a photo,Сделать фото
copied,,Copied,Скопировано
pastItIntoYourEmailClient,,Paste it into your email client,"Почта для обратной связи скопирована в буфер, введите ее в вашем сервисе электронных писем"
nameDialogSubtitle,,You are easier to find if you write a real name,"Друзьям будет легче вас найти, если вы введете настоящее имя."
save,,Save,Сохранить
emptyNameError,,The name cannot be empty,Поле с именем не может быть пустым
settingsPagePlaceholderText,,Soon you'll be able to tailor {appName} to your needs.,Скоро вы сможете еще больше адаптировать {appName} под себя.
wantToFeelFulfilled,,Want to feel fulfilled?,Хотите жить полной жизнью?
stayWithMeditivity,,Stay with {appName} to explore scientific and effective ways to boost your productivity and mindfulness.,"Оставайтесь с {appName}, чтобы использовать научные и эффективные методы роста своей продуктивности и осознанности."
connectWith,,Connected with,Вход с
syncCalendar,,Sync Calendar,Синхронизировать с Google Календарем
changeEmail,,Change Email,Изменить email
changeResetPassword,,Change/Reset Password,Изменить/Сбросить пароль
deleteAccount,,Delete Account,Удалить аккаунт
logOutMessage,,Are you sure you want to log out from your account?,"Вы уверены, что хотите выйти из аккаунта?"
deleteAccountMessage,,Are you sure you want to delete your account?,"Вы уверены, что хотите удалить аккаунт?"
someErrorMessage,,"Oops, an error occurred. Please try one more time.","Что-то пошло не так. Пожалуйста, попробуйте еще раз."
successSubscriptionTitle,,Success,Успех
successSubscriptionMessage,,Subscription successfully restored.,Подписка успешно восстановлена.
unsuccessSubscriptionTitle,,Unsuccess,Что-то пошло не так
unsuccessSubscriptionMessage,,You don't have active subscriptions to restore.,"У вас нет активной подписки, которую можно восстановить."
tasksSyncMessage,,Tasks syncs only if they have target time. Habits syncs only of they have starting time and number of reminders are less or equals to 5.,Синхронизируются только задачи с заданной датой и привычки с заданной датой и менее 5 повторами в день.
syncGoogleCalendar,,Sync Google Calendar,Сихронизировать с Google Календарем
unsubscripbed,,Unsubscribed,Отписаться
day,,Day,День
days,,Days,Дней
currentStreak,,Current Streak,Текущая цепочка
longest,,Longest,Самая длинная
session,,Session,Сессия
sessions,,Sessions,Сессий
mindfulTime,,Mindful Time,Осознанное время
about,,About,О нас
helpAndFeedback,,Help & Feedback,Помощь и обратная связь
language,,Language,Язык
productivity,,Productivity,Продуктивность
synchronization,,Synchronization,Синхронизация
theme,,Theme,Тема
widget,,Widget,Виджет
taskDoer,,Task Doer,Задачи
missingStepTaskTitleAndSphereOrGoal,,Please add task title and tie to sphere or goal to proceed.,"Добавьте наименование задачи и привяжите ее к сфере жизни, чтобы продолжить."
missingStepGoalTitle,,Please add goal title to proceed.,"Добавьте наименование цели, чтобы продолжить."
missingStepSphereOrGoalTask,,Please tie to sphere or goal to proceed.,"Привяжите задачу к сфере жизни или цели, чтобы продолжить."
taskHintText,,e.g. Buy groceries,"Например, купить продукты"
customTaskText1,,Add a visual tag to tie this task to a life sphere or an existing goal. It keeps life organized and balanced.,"Добавьте визуальный тег, чтобы привязать задачу к сфере жизни или цели. Это поможет сохранять списки дел в порядке."
customTaskText2,,The task is tied to the chosen goal,Задача привязана к выбранной цели
setDateAndTime,,SET DATE & TIME,Дата и время
time,,Time,Время
repetition,,Repetition,Повтор
repetitionEnds,,Repetition Ends,Окончание повтора
replays,,Replays,Повторений
checklist,,Checklist,Чеклист
typeYourTitleHere,,Type your title here...,Введите наименование...
addSubtask,,Add subtask,Добавить подзадачу
comingSoon,,Coming soon,Скоро
failure,,Failure,Не получилось
itsDone,,It's done!,Готово!
targetValueHint,,Target value,Заданная величина
editTask,,Edit Task,Редактировать задачу
editTaskSyncMessage,,This task is not syncable with Google calendar due to missed target date or target time.,"Эта задача не может быть синхронизирована с Google Календарем, потому что у нее нет заданной даты и времени."
completeTask,,Complete task,Выполнить задачу
undoComplete,,Undo complete,Отменить выполнение
editDenied,,Edit denied,Невозможно отредактировать
editDeniedMessage,,This task was added to your Google calendar by someone else. It can’t be edited.,"Эта задача была добавлена в ваш Google Календарь кем-то другим, поэтому вы не можете ее отредактировать."
taskTitleHint,,Task Title,Наименование задачи
habitTracker,,Habit Tracker,Трекер привычек
achievedGoals,,Achieved goals,Достигнутые цели
buildHabits,,Build habits,Выработанные привычки
completedTasks,,Completed Tasks,Выполненные задачи
syncMessageHomePage,,"Sync was not successfully completed. Please check your internet connection, access to your calendar, and try again.","Ошибка в синхронизации. Пожалуйста, проверьте интернет-соединение и доступ к вашему календарю и попробуйте еще раз."
charactersNumber,,6+ characters,6+ знаков
migrationPageMessage,,"While we're taking care of your data sync to ensure nothing gets lost, take care of your mind and use this couple of minutes to meditate 😊","Пока мы заботимся о том, чтобы синхронизировать ваши данные и сделать так, чтобы ничего не потерялось, позаботьтесь о себе и сделайте дыхательные упражнения 😊"
premiumPage0Title,,"Double your achievements
& boost your life","Приумножьте свои достижения 
и улучшите свою жизнь"
premiumPage1Title,,Unlimited Templates,Безграничные шаблоны
premiumPage1Check1,,Get full access to goal and habit templates.,Полный доступ к шаблонам целей и привычек.
premiumPage1Check2,,Save time with detailed plans.,"Экономьте время, пользуясь готовыми планами."
premiumPage1Check3,,Enjoy beautiful icons.,Наслаждайтесь красивыми иконками.
premiumPage2Title,,Full Mindfulness Library,Полный доступ к библиотеке осознанности
premiumPage2Check1,,Meditation courses and singles.,Курсы медитаций и синглы.
premiumPage2Check2,,Sleep sounds that help you wind down.,Звуки для крепкого сна.
premiumPage2Check3,,Unlimited sounds for focus and relaxing.,Звуки для расслабления и концентрации.
premiumPage3Title,,Advanced To-Do,Продвинутый список дел
premiumPage3Check1,,Never miss a deadline with various reminders.,Напоминания помогут не пропустить дедлайн.
premiumPage3Check2,,Add any repetition and the day it ends.,Повторяющиеся задачи и дата окончания.
premiumPage3Check3,,Take an overlook at all completed tasks.,Доступ ко всем выполненным задачам.
premiumPage4Title,,Progress & Stats,Прогресс и статистика
premiumPage4Check1,,"Visualize daily, weekly, and monthly progress.","Наглядная ежедневная, недельная и месячная статистика."
premiumPage4Check2,,"Keep track of your goals, habits, tasks and notes.","Отслеживайте прогресс своих целей, привычек, задач и заметок."
premiumPage4Check3,,Check pomodoro records.,Следите за временем работы с фокус-таймером.
premiumPage5Title,,Customized focus timer,Индивидуальный фокус-таймер
premiumPage5Check1,,Tailor pomodoro time periods to your needs.,Задавайте любые временные отрезки фокуса.
premiumPage5Check2,,Choose any break duration you want.,Задавайте любые перерывы.
premiumPage5Check3,,Pick an end sound.,Выбирайте любой звук завершения.
premiumPage6Title,,Support upcoming features,Поддержка будущих функций
premiumPage6Check1,,"New meditations, sounds, and masterclasses.",Новые медитации и мастерклассы.
premiumPage6Check2,,"More goal, habit, and task templates.","Больше шаблонов целей, привычек и задач."
premiumPage6Check3,,Chat and community.,Чат и сообщество.
payMonthly,,Pay monthly,Оплата за месяц
payYearly,,Pay yearly,Оплата за год
flexible,,Flexible,Гибкий
popular,,Popular,Популярный
save25,,Save 25%,Сэкономьте 25%
tryFreeAndSubscribe,,Try free & subscribe,Попробовать
month,,month,месяц
year,,year,год
try7DaysFree,,"Try 7 days free, then","Попробуйте бесплатно 7 дней,"
cancelAnytime,,Cancel anytime.,Отмените в любое время.
purchaseError,,Purchase error,Ошибка покупки
purchaseErrorMessage,,There some purchase error. Please try again later,"Произошел сбой в покупке. Пожалуйста, попробуйте еще раз позже."
updateAppTitle,,Cool New Version,Доступна классная новая версия
updateAppSubtitle,,"We made improvements for you.
Please upgrade to the latest version to continue","Мы поработали над улучшениями.
Пожалуйста, обновите приложение до последней версии, чтобы продолжить."
updateAppBottom,,Update is free,Обновить
volume,,Volume,Громкость
schedule,,Schedule,Запланировать
reschedule,,Reschedule,Перенести
scheduled,,Scheduled,Внесено в расписание
backgroundSound,,Background Sound,Звук или мелодия
endSound,,End Sound,Звук завершения
